player_name,draft_cost,performance_score,value_per_dollar,games_played,team,fantasy_team,pick_number,pts_pg,reb_pg,ast_pg,stl_pg,blk_pg,threepm_pg,fg_pct,ft_pct,to_pg,expected_cost,value_over_expected,value_percentage
Josh Hart,4,27.04,6.76,81,NYK,Flat Earth Society,29,9.39,8.33,4.09,0.93,0.28,0.99,0.434,0.791,1.46,24.090885011582156,20.090885011582156,502.2721252895539
Anfernee Simons,3,16.78,5.593333333333334,46,POR,Bzzzzznatch,92,22.59,3.63,5.54,0.5,0.11,3.39,0.43,0.916,2.74,14.949890920648988,11.949890920648988,398.3296973549663
Tyler Herro,3,16.04,5.346666666666667,42,MIA,Bzzzzznatch,105,20.83,5.29,4.48,0.71,0.07,3.14,0.441,0.856,2.21,14.290598949178174,11.290598949178174,376.3532983059391
Jabari Smith Jr.,4,16.82,4.205,76,HOU,Flat Earth Society,76,13.74,8.11,1.59,0.68,0.8,1.82,0.454,0.811,1.17,14.985528324512275,10.985528324512275,274.63820811280686
Austin Reaves,5,16.04,3.2079999999999997,82,LAL,LetsBall,79,15.85,4.29,5.49,0.81,0.3,1.88,0.486,0.853,2.12,14.290598949178174,9.290598949178174,185.81197898356348
Miles Bridges,7,17.67,2.5242857142857145,69,CHA,Flat Earth Society,81,21.0,7.32,3.35,0.94,0.48,2.27,0.462,0.825,2.0,15.742823156607129,8.742823156607129,124.89747366581612
Coby White,6,13.35,2.225,79,CHI,The Krappers,90,19.1,4.53,5.13,0.67,0.23,2.65,0.447,0.838,2.1,11.893983539372108,5.893983539372108,98.23305898953514
Naz Reid,5,10.39,2.0780000000000003,81,MIN,LetsBall,77,13.46,5.22,1.31,0.78,0.9,2.09,0.477,0.736,1.37,9.256815653488855,4.2568156534888555,85.13631306977712
Brook Lopez,4,8.92,2.23,79,MIL,Flat Earth Society,80,12.53,5.18,1.61,0.54,2.39,1.87,0.485,0.821,1.0,7.947141061513049,3.947141061513049,98.67852653782623
Walker Kessler,3,7.58,2.526666666666667,64,UTA,Bzzzzznatch,88,8.09,7.52,0.94,0.47,2.41,0.06,0.654,0.602,1.03,6.753288032092928,3.753288032092928,125.10960106976425
Brandon Ingram,3,6.44,2.146666666666667,64,NOP,hersheysquirt,66,20.81,5.06,5.67,0.78,0.62,1.34,0.492,0.801,2.55,5.737622021989242,2.7376220219892424,91.25406739964141
Michael Porter Jr.,4,6.64,1.66,81,DEN,Flat Earth Society,36,16.74,6.97,1.51,0.52,0.65,2.72,0.484,0.836,1.14,5.915809041305677,1.9158090413056774,47.895226032641936
Nic Claxton,5,7.68,1.536,71,BKN,Bzzzzznatch,82,11.85,9.94,2.07,0.65,2.06,0.01,0.629,0.551,1.31,6.842381541751145,1.8423815417511449,36.8476308350229
D'Angelo Russell,4,6.18,1.545,76,LAL,Bzzzzznatch,89,18.01,3.1,6.33,0.91,0.47,2.97,0.456,0.828,2.05,5.505978896877875,1.505978896877875,37.649472421946875
O.G. Anunoby,5,7.06,1.412,50,"NYK, TOR",The Bandwagon,75,14.66,4.16,2.14,1.36,0.72,2.04,0.489,0.753,1.62,6.290001781870194,1.2900017818701937,25.800035637403873
Tobias Harris,5,6.99,1.3980000000000001,70,PHI,The Bandwagon,71,17.2,6.47,3.1,1.0,0.66,1.3,0.487,0.878,1.33,6.227636325109441,1.227636325109441,24.552726502188822
Jrue Holiday,3,3.82,1.2733333333333332,69,BOS,Bzzzzznatch,99,12.46,5.41,4.83,0.88,0.77,2.0,0.48,0.833,1.8,3.403372068943929,0.40337206894392885,13.445735631464295
Brandon Miller,7,7.73,1.1042857142857143,74,CHA,Big Baller Brand,74,17.28,4.26,2.37,0.89,0.57,2.49,0.44,0.827,1.78,6.886928296580255,-0.11307170341974526,-1.615310048853504
Jarrett Allen,9,9.08,1.008888888888889,77,CLE,The Krappers,72,16.51,10.53,2.73,0.69,1.05,0.0,0.634,0.742,1.57,8.089690676966198,-0.9103093230338022,-10.114548033708912
CJ McCollum,5,4.33,0.866,66,NOP,Flat Earth Society,93,20.03,4.33,4.62,0.94,0.62,3.62,0.459,0.827,1.67,3.8577489682008412,-1.1422510317991588,-22.845020635983175
Julius Randle,6,4.93,0.8216666666666667,46,NYK,LetsBall,65,23.96,9.2,4.98,0.54,0.26,1.65,0.472,0.781,3.46,4.392310026150149,-1.6076899738498511,-26.794832897497518
Darius Garland,6,3.72,0.62,57,CLE,The Krappers,58,18.04,2.67,6.54,1.3,0.12,2.32,0.446,0.834,3.09,3.3142785592857114,-2.6857214407142886,-44.76202401190481
Bradley Beal,5,2.28,0.45599999999999996,53,PHX,LetsBall,57,18.19,4.38,5.0,0.98,0.51,1.91,0.513,0.813,2.47,2.0313320202073712,-2.9686679797926288,-59.37335959585257
Jamal Murray,10,7.4,0.74,59,DEN,What what what's your fantasy,46,21.19,4.1,6.51,0.97,0.66,2.46,0.481,0.853,2.12,6.5929197147081355,-3.4070802852918645,-34.070802852918646
Immanuel Quickley,12,7.9,0.6583333333333333,68,"NYK, TOR",The Krappers,70,17.0,3.81,4.87,0.73,0.15,2.52,0.434,0.853,1.49,7.038387262999225,-4.961612737000775,-41.346772808339786
DeMar DeRozan,9,4.32,0.48000000000000004,79,CHI,The Krappers,60,24.01,4.3,5.33,1.14,0.57,0.95,0.48,0.853,1.71,3.8488396172350194,-5.151160382764981,-57.235115364055346
Deandre Ayton,8,2.86,0.3575,55,POR,slimpickens,54,16.73,11.07,1.64,1.02,0.76,0.02,0.57,0.823,1.8,2.5480743762250357,-5.451925623774964,-68.14907029718705
Cam Thomas,10,4.86,0.48600000000000004,66,BKN,LetsBall,39,22.45,3.24,2.91,0.68,0.24,2.18,0.442,0.856,1.88,4.329944569389397,-5.670055430610603,-56.700554306106035
Mikal Bridges,11,5.47,0.49727272727272726,82,BKN,The Krappers,67,19.59,4.54,3.65,0.99,0.37,2.68,0.436,0.814,2.0,4.873414978304527,-6.126585021695473,-55.69622746995885
Jaylen Brown,11,4.92,0.44727272727272727,70,BOS,The Krappers,64,23.0,5.53,3.56,1.19,0.53,2.07,0.499,0.703,2.37,4.383400675184327,-6.616599324815673,-60.15090295286976
